pl_name,pl_rade,pl_bmasse,disc_year,st_teff,pl_eqt,pl_orbsmax,pl_orbper
55 Cnc e,2.08,7.81,2004,5234.0,1958.0,0.01544,0.7365437
AU Mic b,4.07,17.0,2020,3700.0,593.0,0.0645,8.463
AU Mic c,3.24,13.6,2021,3700.0,454.0,0.1101,18.859019
BD+20 594 b,2.23,16.3,2016,5766.0,546.0,0.241,41.6855
BD-14 3065 b,21.59,3932.0,2024,6935.0,2001.0,0.0656,4.2889731
CFHTWIR-Oph 98 b,20.8487041,2479.0615746,2021,2320.0,1800.0,200.0,8040000.0
COCONUTS-2 b,12.44196858,2002.3189641,2021,3406.0,434.0,7506.0,402000000.0
CoRoT-1 b,17.385159,327.3649,2008,5950.0,1915.0,0.02536,1.5089686
CoRoT-1 b,15.91678,340.0781,2008,5950.0,1834.0,0.0259,1.508976552
CoRoT-10 b,10.547669,883.5674,2010,5075.0,647.0,0.106,13.2406
CoRoT-10 b,10.87,874.0,2010,5075.0,600.0,0.1055,13.2406
CoRoT-11 b,15.984034,743.7222,2010,6440.0,1735.0,0.044,2.99433
CoRoT-11 b,16.03,740.51,2010,6440.0,1657.0,0.0436,2.99433
CoRoT-12 b,15.13215,281.91521,2010,5675.0,1410.0,0.0394,2.828042
CoRoT-12 b,16.14,291.438,2010,5675.0,1442.0,0.04016,2.828042
CoRoT-13 b,9.92,415.704,2010,5945.0,1700.0,0.051,4.03519
CoRoT-13 b,14.033668,416.99296,2010,5945.0,1432.0,0.051,4.03519
CoRoT-14 b,11.410762,2437.7561,2010,6035.0,1936.0,0.02687,1.51214
CoRoT-14 b,12.22,2415.4,2010,6035.0,1952.0,0.027,1.51214
CoRoT-17 b,11.43,772.29,2011,5740.0,1626.0,0.0461,3.7681
CoRoT-17 b,11.287463,781.8618,2011,5740.0,1610.0,0.0481,3.7681
CoRoT-18 b,14.022459,1039.3041,2011,5440.0,1490.0,0.0286,1.9000693
CoRoT-18 b,14.68,1102.82,2011,5440.0,1550.0,0.0295,1.9000693
CoRoT-19 b,14.46,352.78,2011,6090.0,2000.0,0.0518,3.89713
CoRoT-19 b,13.33871,346.4347,2011,6090.0,1630.0,0.0512,3.89713
CoRoT-2 b,16.47723,1150.5446,2008,5696.0,1548.0,0.02854,1.7429935
CoRoT-2 b,16.36514,1134.6531,2008,5598.0,1521.0,0.02835,1.7429935
CoRoT-20 b,13.00244,1608.2198,2011,5880.0,1100.0,0.0892,9.24285
CoRoT-20 b,9.42,1347.54,2011,5880.0,1002.0,0.0902,9.24285
CoRoT-22 b,4.88,12.2,2014,5939.0,885.0,0.092,9.75598
CoRoT-23 b,11.77,889.9,2011,5900.0,1660.0,0.048,3.6313
