st_teff,pl_eqt,pl_rade,pl_orbsmax
4060.0,1800.0,18.647,330.0
5234.0,1958.0,2.08,0.01544
3700.0,593.0,4.07,0.0645
3700.0,454.0,3.24,0.1101
5766.0,546.0,2.23,0.241
4993.0,1303.0,14.68376472,1662.0
6935.0,2001.0,21.59,0.0656
2320.0,1800.0,20.8487041,200.0
3406.0,434.0,12.44196858,7506.0
5950.0,1915.0,17.385159,0.02536
5950.0,1834.0,15.91678,0.0259
5075.0,647.0,10.547669,0.106
5075.0,600.0,10.87,0.1055
6440.0,1735.0,15.984034,0.044
6440.0,1657.0,16.03,0.0436
5675.0,1410.0,15.13215,0.0394
5675.0,1442.0,16.14,0.04016
5945.0,1700.0,9.92,0.051
5945.0,1432.0,14.033668,0.051
6035.0,1936.0,11.410762,0.02687
6035.0,1952.0,12.22,0.027
5740.0,1626.0,11.43,0.0461
5740.0,1610.0,11.287463,0.0481
5440.0,1490.0,14.022459,0.0286
5440.0,1550.0,14.68,0.0295
6090.0,2000.0,14.46,0.0518
6090.0,1630.0,13.33871,0.0512
5696.0,1548.0,16.47723,0.02854
5598.0,1521.0,16.36514,0.02835
5880.0,1100.0,13.00244,0.0892
5880.0,1002.0,9.42,0.0902
5939.0,885.0,4.88,0.092
5900.0,1660.0,11.77,0.048
5900.0,1710.0,13.22662,0.04809
4950.0,1070.0,3.7,0.056
4950.0,850.0,5.0,0.098
6040.0,1330.0,12.11,0.0578
5590.0,1600.0,14.12,0.0526
5900.0,1500.0,11.287,0.0476
6740.0,1695.0,11.623733,0.05783
6390.0,1747.0,18.83108758,0.0429
6730.0,1567.0,15.80466279,0.066
6190.0,1058.0,13.00244,0.0912
6190.0,1074.0,13.34,0.09
6100.0,1438.0,15.558,0.04947
6100.0,1348.0,13.249038,0.05004
6090.0,1025.0,13.282665,0.0855
6090.0,1017.0,13.068,0.0855
5250.0,1910.0,1.860694,0.0169
5259.0,1756.0,1.585,0.017016
5080.0,922.0,7.980808,0.0633
5625.0,420.0,11.948794,0.4021
5625.0,413.0,11.623733,0.4027
5970.0,938.0,6.38913,0.071
5679.0,2038.0,1.565,0.0177
6025.0,886.35,6.12,0.148
5496.0,2063.0,1.82,0.01312
5578.0,2299.0,1.676,0.01314
5470.0,2333.0,1.52,0.0116
5532.0,2300.0,1.725,0.01326
5578.0,804.0,2.84,0.1073
5470.0,774.0,2.5,0.105
5496.0,722.0,2.77,0.1071
5532.0,805.0,2.836,0.1083
5868.0,804.0,2.332,0.1237
6202.0,1401.0,11.780659,0.07229
4898.0,183.0,12.44199,4.5
5430.0,1616.0,1.95,0.047
5430.0,990.0,3.67,0.13
5430.0,752.0,3.94,0.22
3395.0,440.6,1.9,0.0418
3348.0,456.0,2.025,0.0385
3229.0,583.8,1.19151465,0.0157
3270.0,529.0,1.13,0.0153
3250.0,596.0,2.742,0.0149
3101.0,567.0,2.733,0.01505
3458.0,1089.0,1.193,0.00916
4640.0,422.0,2.61,0.1915
3556.0,693.0,2.13,0.03165
3600.0,615.0,4.2,0.0348
3600.0,593.5,4.57,0.0355
3652.0,604.0,3.88,0.031
3347.0,773.0,1.264,0.01589
3505.0,525.0,1.217,0.035
3522.0,1745.0,0.718,0.0071
3522.0,1365.0,0.699,0.00709
3384.0,568.0,1.09,0.0252
3369.0,568.8,1.15,0.02569
4120.0,308.6,2.63,0.2324
4120.0,124.7,8.4,1.4
3350.0,686.0,4.1910451,0.03109
3500.0,669.0,4.091285,0.02887
3350.0,649.0,4.2224,0.02872
3291.0,706.0,1.343,0.01713
3340.0,701.0,1.305,0.01734
3317.0,696.3,1.289,0.01714
3600.0,940.0,1.331,0.01406
4269.0,1172.0,1.62,0.01888
4305.0,1175.0,1.577,0.0188
4219.0,1114.0,1.58,0.0206
4236.0,1035.01,1.44,0.0189
4269.0,811.0,1.269,0.03942
4305.0,813.0,1.241,0.03925
4219.0,771.0,1.24,0.0429
4236.0,715.94,1.13,0.0395
4236.0,675.0,1.98,0.053
4305.0,681.0,2.022,0.0559
4219.0,646.0,2.04,0.0611
4236.0,599.68,1.89,0.0563
4269.0,680.0,2.07,0.05615
7000.0,2300.0,16.47720163,0.0338
3253.0,315.0,0.9,0.067
3296.0,314.6,0.958,0.0668
5975.0,1291.0,13.641353,0.05535
5980.0,1322.0,14.784671,0.05561
5975.0,1306.0,13.921578,0.0553
5980.0,1322.0,14.784671,0.05561
4780.0,878.0,4.73,0.053
4780.0,847.0,4.901,0.0532
4780.0,838.0,4.449973,0.05259
4665.0,955.0,10.301071,0.03767
4650.0,963.0,10.749,0.0384
5653.0,1740.0,16.667783,0.0431
5653.0,1653.0,14.359,0.0427
6600.0,1624.0,13.663771,0.06108
